date,price,volume
2023-08-28,1653.08,352868062.83225
2023-08-29,1729.42,842464924.522092
2023-08-30,1705.23,347291135.28552
2023-08-31,1645.76,554219312.094311
2023-09-01,1629.12,493457144.938849
2023-09-02,1637.03,166937240.933972
2023-09-03,1635.84,190979647.353311
2023-09-04,1630.51,274049115.417922
2023-09-05,1634.45,333010633.963955
2023-09-06,1633.15,358419121.474319
2023-09-07,1648.11,374542954.194732
2023-09-08,1636.44,362938822.785618
2023-09-09,1635.54,95627623.417556
2023-09-10,1617.42,336517904.443572
2023-09-11,1551.85,657137141.34232
2023-09-12,1592.97,525392019.744392
2023-09-13,1607.62,357304191.673901
2023-09-14,1626.47,447913522.75155
2023-09-15,1641.29,295616593.107865
2023-09-16,1634.4,163144495.691079
2023-09-17,1622.48,195464805.891003
2023-09-18,1636.66,458235380.246686
2023-09-19,1643.12,302910996.591828
2023-09-20,1622.26,379255954.951705
2023-09-21,1583.94,384503484.655841
2023-09-22,1593.08,198987470.055888
2023-09-23,1593.86,102806906.083431
2023-09-24,1580.71,218549215.974009
2023-09-25,1588.33,279294486.722661
2023-09-26,1594.01,199551097.289548
2023-09-27,1598.64,440883556.960054
2023-09-28,1652.99,541873730.296698
2023-09-29,1667.45,420335662.096628
2023-09-30,1670.89,229630339.535437
2023-10-01,1733.79,383793846.183488
2023-10-02,1662.4,643680600.092603
2023-10-03,1656.88,328606758.398617
2023-10-04,1646.58,365919693.07999
2023-10-05,1611.79,386770321.772352
2023-10-06,1645.03,360565723.578844
2023-10-07,1633.57,165907550.809013
2023-10-08,1632.84,243516204.388717
2023-10-09,1580.13,540588837.459589
2023-10-10,1567.63,378967575.340083
2023-10-11,1566.87,406667649.144022
2023-10-12,1539.61,366335747.013667
2023-10-13,1552.16,297929349.186925
2023-10-14,1554.94,155648012.907844
2023-10-15,1557.77,187266232.062386
2023-10-16,1599.42,665124956.25364
2023-10-17,1565.01,370032208.156754
2023-10-18,1563.44,279357949.45458
2023-10-19,1566.57,336684246.044496
2023-10-20,1603.89,506065182.982314
2023-10-21,1628.94,285546594.56213
2023-10-22,1663.7,374841495.304391
2023-10-23,1765.46,1044121568.099054
2023-10-24,1784.98,1216867823.899225
2023-10-25,1787.15,634289515.565779
2023-10-26,1803.38,781481904.959697
2023-10-27,1779.4,488398895.217537
2023-10-28,1776.2,219588597.64105
2023-10-29,1795.14,258015412.931554
2023-10-30,1809.04,501228029.317605
2023-10-31,1814.67,464695558.995254
2023-11-01,1846.99,858744655.311508
2023-11-02,1800.8,674522153.765589
2023-11-03,1832.71,568244477.517703
2023-11-04,1855.54,315560482.702516
2023-11-05,1891.71,721508408.943992
2023-11-06,1900.95,622198937.156692
2023-11-07,1885.27,625566317.427045
2023-11-08,1888.12,468144576.741454
2023-11-09,2121.32,2200484378.92985
2023-11-10,2077.72,1167220520.828261
2023-11-11,2053.17,763796737.409375
2023-11-12,2044.68,577153459.51571
2023-11-13,2053.65,1093862454.321374
2023-11-14,1979.39,972032428.326573
2023-11-15,2058.48,847945999.664
2023-11-16,1961.77,1101174547.308609
2023-11-17,1960.82,783561858.011889
2023-11-18,1962.6,543924395.733028
2023-11-19,2011.47,494600634.891146
2023-11-20,2021.4,854002757.451172
2023-11-21,1933.01,974304142.397174
2023-11-22,2063.21,943776525.65738
2023-11-23,2062.2,517482313.452256
2023-11-24,2080.84,894370772.518114
2023-11-25,2083.09,288887833.978004
2023-11-26,2062.33,499314260.833915
2023-11-27,2027.5,660673302.74006
2023-11-28,2048.14,578404413.958468
2023-11-29,2028.81,521225853.33225
2023-11-30,2051.96,496360388.666385
2023-12-01,2087.24,778670941.03376
2023-12-02,2164.74,684434398.684245
2023-12-03,2192.95,560343820.028509
2023-12-04,2243.37,1263069834.208612
2023-12-05,2293.33,1190597719.193227
2023-12-06,2232.7,925926168.109342
2023-12-07,2355.73,1115389522.523053
2023-12-08,2358.72,893841920.83732
2023-12-09,2340.49,679437458.931254
2023-12-10,2352.39,469860963.947153
2023-12-11,2225.12,1426910964.96622
2023-12-12,2203.46,799015127.414974
2023-12-13,2260.16,922420273.947253
2023-12-14,2315.32,934716057.650864
2023-12-15,2220.5,754022987.247722
2023-12-16,2228.96,446980227.082835
2023-12-17,2196.52,501306718.242808
2023-12-18,2219.43,789100505.031711
2023-12-19,2177.91,847060839.708398
2023-12-20,2202.17,922794580.703402
2023-12-21,2239.61,1010354340.135799
2023-12-22,2324.54,1358322906.958078
2023-12-23,2308.2,586078143.242079
2023-12-24,2264.05,705420988.78504
2023-12-25,2271.35,652158658.258351
2023-12-26,2230.88,916097827.49845
2023-12-27,2378.35,1250873719.550661
2023-12-28,2344.15,1385456486.286191
2023-12-29,2299.2,1049566350.122209
2023-12-30,2291.68,483369913.478846
2023-12-31,2281.87,510046689.187396
2024-01-01,2352.04,500451219.612806
2024-01-02,2355.34,1090922198.049091
2024-01-03,2209.72,1797597895.179904
2024-01-04,2267.11,1009072619.206773
2024-01-05,2268.78,910367621.181662
2024-01-06,2240.78,434867515.959157
2024-01-07,2221.42,463525159.257429
2024-01-08,2330.44,1221527410.440822
2024-01-09,2344.29,1267764132.836077
2024-01-10,2584.38,2536320982.388543
2024-01-11,2618.01,2194916359.191646
2024-01-12,2522.54,2318179618.086912
2024-01-13,2578.19,1075466481.72042
2024-01-14,2472.87,774962904.807117
2024-01-15,2511.78,793871974.871601
2024-01-16,2587.4,972060398.7746
2024-01-17,2530.19,933809190.348208
2024-01-18,2470.81,1129803152.914788
2024-01-19,2492.0,1047352971.89337
2024-01-20,2472.01,337794603.1476
2024-01-21,2457.05,303022758.728082
2024-01-22,2314.2,1252505758.322904
2024-01-23,2242.6,1568448812.43809
2024-01-24,2235.02,802477123.108515
2024-01-25,2218.64,731016014.382289
2024-01-26,2267.68,815753832.163171
2024-01-27,2267.94,329102144.459815
2024-01-28,2256.9,476534769.158892
2024-01-29,2317.6,696374288.619473
2024-01-30,2343.01,871148737.166658
2024-01-31,2283.14,920131584.290104
2024-02-01,2304.28,708868445.046755
2024-02-02,2309.06,549302201.697642
2024-02-03,2296.49,307866239.186442
2024-02-04,2289.79,393039532.452068
2024-02-05,2301.83,545576620.002565
2024-02-06,2372.64,864113645.787681
2024-02-07,2425.1,820475884.303521
2024-02-08,2419.55,821961943.652096
2024-02-09,2486.56,1222635531.628793
2024-02-10,2500.24,461966177.394756
2024-02-11,2507.21,553430378.325069
2024-02-12,2659.99,1152087242.126358
2024-02-13,2639.99,1328138932.929169
2024-02-14,2774.81,1258639954.547665
2024-02-15,2822.59,1353587492.514775
2024-02-16,2801.8,1062271564.48786
2024-02-17,2785.93,673711593.251713
2024-02-18,2881.2,1037802342.593287
2024-02-19,2944.8,1302430726.129661
2024-02-20,3014.81,1868745481.647549
2024-02-21,2967.9,1746960179.79394
2024-02-22,2971.4,1676206889.451405
2024-02-23,2922.24,1261137725.511952
2024-02-24,2992.62,721993808.566193
2024-02-25,3112.59,1257766106.546299
2024-02-26,3175.94,1703165045.241492
2024-02-27,3242.36,2025805516.974933
2024-02-28,3383.1,3153201034.914763
2024-02-29,3340.09,2608623102.49017
2024-03-01,3433.43,1405295834.572694
